name,zozo_url,official_url
antiqua,http://zozo.jp/shop/antiqua/,""
ichi,http://zozo.jp/shop/ichi/,""
Brick Shiota Ink.,http://zozo.jp/shop/brickshiota/,http://brick.co.jp
Histoire,http://zozo.jp/shop/histoire/,http://www.histoire-inc.jp/
furryrate,http://zozo.jp/shop/furryrate/,http://furryrate-hp.jp/
improves,http://zozo.jp/shop/improves/,""
ARMANI JEANS,http://zozo.jp/shop/armanijeans/,""
aimoha,http://zozo.jp/shop/aimoha/,""
SCHLUSSEL,http://zozo.jp/shop/schlussel/,http://www.schlussel.net/
NERGY,http://zozo.jp/shop/nergy/,""
CHARI&CO,http://zozo.jp/shop/chariandco/,http://www.chariandco.jp
Linea storia,http://zozo.jp/shop/lineastoria/,""
JUICY ROCK,http://zozo.jp/shop/juicyrock/,""
union store tokyo,http://zozo.jp/shop/unionstoretokyo/,""
A BATHING APE,http://zozo.jp/men-shop/bapeland/,http://www.bape.com/
A&F COUNTRY,http://zozo.jp/men-shop/aandfcountry/,""
A.P.C.,http://zozo.jp/men-shop/apc/,""
a.v.v,http://zozo.jp/men-shop/avv/,""
AAPE BY A BATHING APE,http://zozo.jp/men-shop/aapebyabathingape/,""
ABAHOUSE LASTWORD,http://zozo.jp/men-shop/abahouse/,""
ABC-MART,http://zozo.jp/men-shop/abc-mart/,http://map.abc-mart.net/
ability,http://zozo.jp/men-shop/ability/,""
ACE,http://zozo.jp/men-shop/ace/,""
actuel,http://zozo.jp/men-shop/actuel/,http://actuel.jp/index.html
ADAM ET ROPE',http://zozo.jp/men-shop/adametrope/,""
adidas,http://zozo.jp/men-shop/adidas/,""
Admiral,http://zozo.jp/men-shop/admiral/,""
adonis green,http://zozo.jp/men-shop/adonisgreen/,http://www.adonisgreen.jp/
agete,http://zozo.jp/men-shop/agete/,http://www.agete.com/
agnes b.,http://zozo.jp/men-shop/agnesb/,""
AHCAHCUM.muchacha,http://zozo.jp/men-shop/muchacha/,http://www.ahcahcum-muchacha.com/
AIGLE,http://zozo.jp/men-shop/aigle/,http://www.aigle.co.jp/
AKM,http://zozo.jp/men-shop/akm/,""
ALEXANDER WANG,http://zozo.jp/men-shop/tbyalexanderwang/,""
alfredoBANNISTER,http://zozo.jp/men-shop/bannister/,""
ALL ORDINARIES,http://zozo.jp/men-shop/allordinaries/,""
ALLSAINTS,http://zozo.jp/men-shop/allsaints/,""
ALPHA INDUSTRIES,http://zozo.jp/men-shop/alphaindustries/,""
AMBUSH,http://zozo.jp/men-shop/ambush/,""
AMERICAN RAG CIE,http://zozo.jp/men-shop/americanragcie/,http://www.americanragcie.co.jp/
AMPHI,http://zozo.jp/men-shop/amphi/,""
ANAP,http://zozo.jp/men-shop/anap/,""
ANCHOR by ROTAR/VIVIFY,http://zozo.jp/men-shop/anchorbyrotarvivify/,""
ANDEX shoes product,http://zozo.jp/men-shop/andexshoesproduct/,""
anlio,http://zozo.jp/men-shop/anlio/,""
